Lot;RRO2;RRCO2;AP;TC;NAC;;;;;;;
Type ;(%);(%);nPm;W/mK;Kg/T.AL;;;;;;;
AGA;;;;;;;;;;;;
AGE;;;;;;;;;;;;
AGH;89.58;95.07;0.44;3.33;448.58;;;;;;;
AGQ;;;;;;;;;;;;
AJA;91.00;95.36;0.79;3.44;450.01;;;;;;;
AJE;;;;;;;;;;;;
AJH;90.99;94.94;0.71;3.45;450.09;;;;;;;
AJQ;;;;;;;;;;;;
ASA;90.53;93.46;0.51;3.28;450.08;;;;;;;
ASE;;;;;;;;;;;;
ASH;93.55;93.01;0.27;3.51;445.93;;;;;;;
ASQ;;;;;;;;;;;;
FGA;88.81;94.50;1.23;3.68;460.79;;;;;;;
FGE;;;;;;;;;;;;
FGH;;;;;;;;;;;;
FGQ;;;;;;;;;;;;
FJA;91.33;94.70;1.11;3.15;451.38;;;;;;;
FJE;;;;;;;;;;;;
FJH;91.50;94.85;0.61;3.38;448.02;;;;;;;
FJQ;;;;;;;;;;;;
FSA;;;;;;;;;;;;
FSE;;;;;;;;;;;;
FSH;;;;;;;;;;;;
FSQ;;;;;;;;;;;;
MGA;88.61;94.46;0.77;3.42;454.79;;;;;;;
MGE;85.40;94.33;0.71;3.63;461.01;;;;;;;
MGH;89.58;94.88;0.65;3.48;452.06;;;;;;;
MGQ;89.76;94.21;0.66;3.59;453.94;;;;;;;
MJA;91.45;95.20;0.57;3.45;447.67;;;;;;;
MJE;;;;;;;;;;;;
MJH;91.32;95.66;0.59;3.41;446.94;;;;;;;
MJQ;;;;;;;;;;;;
MSA;92.37;94.21;0.47;3.48;447.30;;;;;;;
MSE;;;;;;;;;;;;
MSH;91.08;94.32;0.74;3.44;451.19;;;;;;;
MSQ;;;;;;;;;;;;
WGA;89.01;95.85;0.50;3.54;450.38;;;;;;;
WGE;88.13;96.12;0.67;3.61;453.30;;;;;;;
WGH;89.59;96.06;0.53;3.44;448.59;;;;;;;
WGQ;86.56;95.15;0.65;3.58;456.92;;;;;;;
WJA;89.99;96.05;0.66;3.38;448.71;;;;;;;
WJE;;;;;;;;;;;;
WJH;90.68;96.14;0.51;3.37;446.04;;;;;;;
WJQ;;;;;;;;;;;;
WSA;93.12;95.36;0.60;3.58;446.25;;;;;;;
WSE;;;;;;;;;;;;
WSH;91.45;95.88;0.58;3.55;447.36;;;;;;;
WSQ;;;;;;;;;;;;
